#GID,TAG,PROGRAM,PRE-COMMAND,POST-COMMANDS,COMMENT
apps,A,backintime,,,"Simple backup system inspired from the Flyback Project and TimeVault. QT5 GUI version"
apps,A,brave-bin,,,"Web browser that blocks ads and trackers by default (binary release)"
apps,A,slack-desktop,,,"Slack Desktop (Beta) for Linux"
apps,A,spotify,,,"A proprietary music streaming service"
apps,A,spotify-adblock-git,,,"Adblocker for Spotify"
apps,A,visual-studio-code-bin,,sudo -u $username mkdir -p /home/$username/.config/Code/User;[ -f /home/$username/.config/Code/User/settings.json ] || echo -e "{\\n\\"terminal.integrated.fontFamily\\": \\"Hack\\"\\n}" | sudo -u $username tee /home/$username/.config/Code/User/settings.json,"Visual Studio Code: Editor for building and debugging modern web and cloud applications"
apps,R,audacity,,,"A program that lets you manipulate digital audio waveforms"
apps,R,darktable,,,"Utility to organize and develop raw images"
apps,R,firefox,,,"Standalone web browser from mozilla.org"
apps,R,freerdp,,,"Free implementation of the Remote Desktop Protocol (RDP)"
apps,R,gimp,,,"GNU Image Manipulation Program"
apps,R,gparted,,,"A Partition Magic clone, frontend to GNU Parted"
apps,R,handbrake-cli,,,"Multithreaded video transcoder (CLI)"
apps,R,handbrake,,,"Multithreaded video transcoder"
apps,R,hugo,,,"Fast and Flexible Static Site Generator in Go"
apps,R,libvncserver,,,"Cross-platform C libraries that allow you to easily implement VNC server or client functionality"
apps,R,mkvtoolnix-cli,,,"Set of tools to create, edit and inspect Matroska files (CLI)"
apps,R,mkvtoolnix-gui,,,"Set of tools to create, edit and inspect Matroska files"
apps,R,mpv,,,"A free, open source, and cross-platform media player"
apps,R,obs-studio,,,"Free, open source software for live streaming and recording"
apps,R,flameshot,,,"Powerful yet simple to use screenshot software"
breeze,R,breeze,,,"Artwork, styles and assets for the Breeze visual style for the Plasma Desktop"
breeze,R,breeze-gtk,,,"Breeze widget theme for GTK 2 and 3"
breeze,R,breeze-icons,,,"Breeze icon themes"
cd2mp3,R,asunder,,,"A graphical CD ripper and encoder"
cd2mp3,R,lame,,,"A high quality MPEG Audio Layer III (MP3) encoder"
docker,R,docker-compose,,,"Fast, isolated development environments using Docker"
docker,R,docker,,try systemctl enable docker.service;try systemctl enable docker;try groupadd docker;usermod -aG docker $username,"Pack, ship and run any application as a lightweight container"
font,R,ttf-jetbrains-mono,,,"Typeface for developers, by JetBrains"
font,R,noto-fonts-emoji,,,"Google Noto emoji fonts"
font,R,noto-fonts-extra,,,"Google Noto TTF fonts - additional variants"
font,R,noto-fonts,,,"Google Noto TTF fonts"
font,R,pango,,,"A library for layout and rendering of text"
font,R,ttf-hack,,,"A hand groomed and optically balanced typeface based on Bitstream Vera Mono"
font,R,ttf-liberation,,,"Red Hats Liberation fonts"
kde-base,A,kwin-scripts-tiling,,,"Tiling script for kwin"
kde-base,R,ark,,,"Archiving Tool"
kde-base,R,dolphin,,,"KDE File Manager"
